Client ID,Name,Age,Marital,Housing,Experience,Status,Salary,Bonus
1000,Christopher Rodriguez,28,Divorced,Rent,2017-05-14,Contractual,98000,5000
1001,Michael Kane,52,Single,Rent,2013-04-10,Full Time,54000,2000
1002,Brandi Jones,38,Divorced,Own,2015-03-19,Part Time,92000,1000
1003,Isaac Cruz,50,Divorced,Rent,2015-11-15,Full Time,65000,10000
1004,Michael Green,21,Married,Own,2019-07-08,Part Time,57000,5000
1005,Christopher Strickland,37,Single,Rent,2018-09-28,Full Time,15000,5000
1006,Dana Turner,48,Single,Own,2021-09-17,Full Time,24000,2000
1007,Mark Goodwin,21,Married,Other,2016-03-18,Full Time,45000,9000
1008,Jennifer Collins,42,Single,Own,2016-04-18,Full Time,17000,4000
1009,Shelley Alvarado,43,Single,Other,2021-09-09,Part Time,81000,9000
1010,Marco Frederick,64,Single,Own,2020-10-30,Full Time,58000,6000
1011,April Snyder,49,Divorced,Own,2015-06-29,Part Time,82000,3000
1012,Kelly Harris,30,Divorced,Other,2020-08-16,Contractual,100000,4000
1013,Mrs. Brittany Kelly,27,Single,Rent,2017-12-05,Full Time,53000,3000
1014,Johnny Ponce,28,Married,Own,2020-04-09,Full Time,22000,8000
1015,Alyssa Gilbert,48,Married,Rent,2018-01-07,Part Time,96000,3000
1016,Melissa Harrison,43,Single,Other,2022-10-22,Part Time,39000,5000
1017,Larry Martinez,56,Divorced,Own,2015-02-18,Full Time,61000,7000
1018,Daniel Orr,60,Single,Own,2014-11-10,Full Time,59000,1000
1019,Alicia Rowe,60,Single,Own,2019-07-15,Full Time,53000,9000
1020,Erin Wilson,23,Divorced,Rent,2014-02-15,Full Time,71000,8000
1021,Mark Jackson,47,Divorced,Own,2020-06-07,Part Time,47000,4000
1022,Andrew Foster,19,Married,Rent,2019-05-04,Part Time,68000,7000
1023,Andrew Frey,24,Divorced,Rent,2018-12-23,Full Time,77000,2000
1024,Paul Cantrell,26,Single,Own,2016-12-09,Full Time,83000,3000
1025,Erin Sexton,61,Divorced,Own,2014-10-04,Contractual,22000,9000
1026,Valerie King,41,Divorced,Other,2020-05-29,Full Time,95000,9000
1027,Jennifer Torres,26,Divorced,Own,2021-12-26,Full Time,85000,2000
1028,Thomas Phillips,25,Divorced,Rent,2019-11-26,Contractual,86000,9000
1029,Victoria Luna,45,Married,Own,2020-01-02,Full Time,30000,1000
1030,Natalie Levine,34,Divorced,Own,2019-01-21,Contractual,36000,6000
1031,Michele Mueller,20,Married,Rent,2013-11-12,Part Time,76000,8000
1032,Paula Salazar,34,Single,Own,2014-12-16,Full Time,98000,5000
1033,William Martin,58,Married,Own,2021-04-15,Full Time,20000,8000
1034,Sharon Robinson,20,Divorced,Own,2016-09-25,Part Time,97000,9000
1035,Zachary Lewis,28,Married,Rent,2018-01-01,Part Time,49000,8000
1036,Marcus Ramirez,56,Married,Own,2016-08-06,Full Time,47000,1000
1037,Krystal Anderson,64,Divorced,Rent,2019-03-18,Part Time,72000,5000
1038,Mark Hernandez,50,Married,Rent,2014-10-17,Contractual,18000,7000
1039,Logan Frederick,46,Divorced,Rent,2016-11-07,Contractual,28000,6000
1040,Julia Dorsey,56,Divorced,Own,2022-08-20,Part Time,56000,3000
1041,Amber Anderson,19,Divorced,Rent,2018-12-31,Contractual,88000,1000
1042,Melanie Moore,55,Divorced,Own,2012-12-26,Full Time,89000,9000
1043,Timothy Walsh,33,Divorced,Other,2019-01-13,Part Time,69000,8000
1044,Richard Pena,60,Single,Own,2018-03-26,Full Time,42000,8000
1045,Tiffany Nichols,53,Single,Rent,2022-05-06,Full Time,78000,3000
1046,Allison Smith,42,Divorced,Other,2019-06-03,Full Time,24000,9000
1047,Teresa Ramirez,23,Divorced,Own,2016-03-30,Part Time,35000,8000
1048,Danielle Thompson,57,Married,Rent,2015-06-28,Full Time,76000,5000
1049,Jeffrey Carpenter,62,Married,Own,2017-05-26,Full Time,12000,5000
1050,Linda Adkins,41,Single,Own,2017-07-25,Full Time,30000,10000
1051,Melissa Taylor,33,Divorced,Other,2019-08-23,Contractual,69000,5000
1052,Dr. Marissa Medina MD,26,Divorced,Own,2013-11-13,Full Time,72000,5000
1053,Tara Chavez,54,Single,Own,2021-07-23,Full Time,27000,7000
1054,Kylie Morales,47,Single,Other,2020-02-06,Part Time,24000,4000
1055,Caitlin Jackson,43,Married,Other,2020-12-01,Full Time,91000,9000
1056,Katherine Stewart,45,Divorced,Own,2013-05-06,Full Time,39000,5000
1057,Jeffrey Ramsey PhD,62,Single,Own,2016-06-20,Part Time,48000,9000
1058,Jonathan Jenkins,59,Single,Other,2014-12-19,Full Time,78000,4000
1059,Douglas Wilson,33,Divorced,Other,2017-03-25,Full Time,15000,6000
1060,Allison Summers MD,53,Divorced,Own,2019-01-15,Full Time,93000,2000
1061,Charles Fletcher,28,Single,Other,2018-11-03,Full Time,62000,4000
1062,Mary Williams,55,Divorced,Rent,2012-12-10,Full Time,99000,7000
1063,Krystal Oneal,25,Divorced,Rent,2014-12-26,Full Time,48000,9000
1064,Keith Klein,41,Divorced,Other,2020-10-09,Part Time,21000,7000
1065,Lisa Bowen,42,Divorced,Other,2019-06-05,Contractual,18000,6000
1066,Richard Haynes,29,Divorced,Other,2020-04-30,Full Time,49000,6000
1067,Joseph Carter,33,Divorced,Other,2017-03-02,Contractual,34000,1000
1068,George David,29,Single,Other,2013-08-31,Full Time,87000,9000
1069,Rachel Sanchez,34,Single,Own,2021-06-11,Part Time,66000,5000
1070,April Park,63,Married,Rent,2019-01-04,Full Time,66000,10000
1071,Brett Haynes,49,Single,Rent,2014-12-25,Full Time,55000,10000
1072,Debra Figueroa,54,Single,Own,2021-08-20,Part Time,50000,3000
1073,Zachary Johnson,21,Divorced,Other,2020-05-21,Full Time,95000,9000
1074,Dave Williams III,23,Single,Other,2018-09-11,Full Time,70000,4000
1075,Caroline Kim,18,Divorced,Other,2021-07-03,Part Time,58000,10000
1076,Kimberly Perez,18,Married,Own,2014-12-05,Full Time,30000,3000
1077,Mr. Joseph Jones,49,Married,Own,2020-06-26,Part Time,54000,2000
1078,Grace Ford,45,Divorced,Rent,2022-04-03,Full Time,12000,7000
1079,Timothy Calderon,41,Divorced,Own,2020-05-15,Part Time,75000,10000
1080,Dana Patterson,25,Divorced,Other,2021-01-24,Part Time,78000,10000
1081,Rebecca Howard,48,Divorced,Rent,2021-09-08,Full Time,55000,3000
1082,Morgan Rodriguez,29,Single,Rent,2019-11-11,Part Time,53000,3000
1083,Brendan Weber,49,Single,Other,2013-03-19,Full Time,85000,4000
1084,Amber Valentine DDS,19,Single,Rent,2020-06-29,Full Time,74000,4000
1085,Michael Ross,35,Single,Other,2015-09-01,Part Time,29000,3000
1086,Robin Lin,20,Married,Other,2022-10-15,Contractual,22000,6000
1087,Sarah Flores MD,53,Married,Rent,2015-08-26,Full Time,66000,9000
1088,Frank Savage,23,Married,Other,2015-03-20,Full Time,90000,10000
1089,Raymond Gibbs,20,Single,Other,2016-05-20,Full Time,15000,7000
1090,Brittany Hampton,43,Married,Other,2013-07-21,Full Time,96000,4000
1091,Ronald Nguyen,52,Married,Own,2014-07-20,Full Time,25000,9000
1092,Laura Johnson,32,Married,Own,2020-08-15,Part Time,64000,1000
1093,Grant Arnold,41,Single,Own,2020-04-23,Full Time,81000,7000
1094,Rebecca Jones,21,Married,Rent,2019-05-01,Full Time,74000,7000
1095,Joseph Smith,42,Single,Other,2022-11-17,Part Time,27000,10000
1096,Scott Charles,20,Single,Rent,2022-06-14,Part Time,29000,5000
1097,Shannon Rodriguez,36,Single,Other,2020-07-13,Part Time,31000,5000
1098,Makayla Woods,28,Married,Other,2014-09-27,Full Time,93000,8000
1099,David Herrera,44,Single,Other,2020-10-25,Full Time,86000,5000
1100,Rick Morales,44,Divorced,Own,2022-03-03,Full Time,35000,1000
1101,Stephanie Stewart,58,Single,Own,2020-03-30,Full Time,84000,2000
1102,Robert Marks,44,Married,Rent,2014-06-24,Full Time,11000,5000
1103,Regina Harris,19,Divorced,Rent,2013-12-27,Contractual,67000,10000
